filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\images\9329.png,Noise can be detected on the central and bottom-side of the region. Turbulent mixing effect can be detected on the wider area of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region.,arafed image of a map of the state of indiana,0.385015637
path\to\your\images\14511.png,Noisy areas can be detected due to low coherence. No deformation activity can be detected.  The image has a processing error during the debursting step.,arafed image of a man on a surfboard in the water,0.353267401
path\to\your\images\6212.png,Vertical stratification effect can be detected on the high altitude areas of the region. Turbulent mixing effect can also be detected on the wider area.  Two deformation patterns can be detected on the right side. A dyke-type of high intensity on the leftmost and sill-type of low intensity on the rightmost. ,arafed image of a map of the world with a red and blue map,0.399212331
path\to\your\images\6157.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Turbulent mixing effect can be detected on the bottom-left and top-left side of the region. Vertical stratification effect can also be detected on the central and top-right side. A dyke-type deformation pattern of high intensity can be detected on the left side of the region. The noise which is located in the deformation zones is caused by the high displacement intensity.,arafed image of a map of the world with a red and blue map,0.394933432
path\to\your\images\1061.png, A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. The atmosphericimpact is low.,arafed image of a map of italy with a red and blue map,0.410842746
path\to\your\images\10551.png,Noise can be detected on the top-right side of the area. Turbulent mixing effect can be detected on the wider area. A vertical stratification effect is also detected on the central side of the region. A dyke-type deformation pattern of high intensity can be detected on the bottom-left side.,a close up of a map of a city with a red and blue map,0.413962722
path\to\your\images\17036.png,Noise can be detected on the central side. Turbulent mixing effect can be detected on the central side of the region. Vertical stratification effect can also be detected on the left side. A sill-type deformation pattern of low intensity can be detected on the central side.,a close up of a fire and smoke cloud on a white background,0.412113696
path\to\your\images\17247.png,Noise can be detected on the central side. Vertical stratification effect of low intensity can be detected on the left side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,arafed image of a fish with a blue and orange body,0.392166376
path\to\your\images\1807.png,Vertical stratification effect can be detected on the top side of the region. A mogi-type deformation pattern of low intensity is detected in top-right side of the region.,a close up of a map of spain with a small island in the middle,0.414196402
path\to\your\images\16959.png,Turbulent mixing effect can be detected on the left side of the region. A sill-type deformation pattern of low intensity can be detected on the central side. ,a close up of a fish with a red and blue body,0.426381916
path\to\your\images\6244.png,Vertical stratification effect can be detected on the central side of the region. Turbulent mixing effect can also be detected in wider area of the region. A mogi-type deformation pattern of medium intensity can be detected on the right side of the region.,there are three pictures of a tiger and a zebra on a white background,0.404515654
path\to\your\images\16931.png,Turbulent mixing effect can be detected on the central side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,there is a picture of a dog that is looking at something,0.410795599
path\to\your\images\12963.png,Turbulent mixing effect can be detected on the wider left and right side of the region. A sill-type deformation pattern of low intensity can be detected on the central-top side of the region.,a close up of a map of a mountain with a black background,0.41881001
path\to\your\images\1000.png,"Turbulent mixing effect can be detected on the top, central and bottom-left side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.  ",a close up of a map of the world with a red circle,0.441049069
