filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\images\9329.png,Noise can be detected on the central and bottom-side of the region. Turbulent mixing effect can be detected on the wider area of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.839441955
path\to\your\images\14511.png,Noisy areas can be detected due to low coherence. No deformation activity can be detected.  The image has a processing error during the debursting step.,vertical stratification effect can be detected on the top and top - left side of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.644080579
path\to\your\images\6212.png,Vertical stratification effect can be detected on the high altitude areas of the region. Turbulent mixing effect can also be detected on the wider area.  Two deformation patterns can be detected on the right side. A dyke-type of high intensity on the leftmost and sill-type of low intensity on the rightmost. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.808091998
path\to\your\images\6157.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Turbulent mixing effect can be detected on the bottom-left and top-left side of the region. Vertical stratification effect can also be detected on the central and top-right side. A dyke-type deformation pattern of high intensity can be detected on the left side of the region. The noise which is located in the deformation zones is caused by the high displacement intensity.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.822033823
path\to\your\images\1061.png, A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. The atmosphericimpact is low.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.812544048
path\to\your\images\10551.png,Noise can be detected on the top-right side of the area. Turbulent mixing effect can be detected on the wider area. A vertical stratification effect is also detected on the central side of the region. A dyke-type deformation pattern of high intensity can be detected on the bottom-left side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.884579599
path\to\your\images\17036.png,Noise can be detected on the central side. Turbulent mixing effect can be detected on the central side of the region. Vertical stratification effect can also be detected on the left side. A sill-type deformation pattern of low intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.815472603
path\to\your\images\17247.png,Noise can be detected on the central side. Vertical stratification effect of low intensity can be detected on the left side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.833179474
path\to\your\images\1807.png,Vertical stratification effect can be detected on the top side of the region. A mogi-type deformation pattern of low intensity is detected in top-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.916198015
path\to\your\images\16959.png,Turbulent mixing effect can be detected on the left side of the region. A sill-type deformation pattern of low intensity can be detected on the central side. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.837147176
path\to\your\images\6244.png,Vertical stratification effect can be detected on the central side of the region. Turbulent mixing effect can also be detected in wider area of the region. A mogi-type deformation pattern of medium intensity can be detected on the right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.899830222
path\to\your\images\16931.png,Turbulent mixing effect can be detected on the central side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.82704401
path\to\your\images\12963.png,Turbulent mixing effect can be detected on the wider left and right side of the region. A sill-type deformation pattern of low intensity can be detected on the central-top side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.882857084
path\to\your\images\1000.png,"Turbulent mixing effect can be detected on the top, central and bottom-left side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.  ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.858903706
